Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live,Dead,FK,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
Ferrán Torres,LW,2023-2024,23,es ESP,Barcelona,es La Liga,29,1211,13.5,12,17,38,0.18,0.47,15,16.6,2,5.5,8.2,1.9,8.2,+1.5,+1.5,-0.7,0.15,38,0.18,0.47,15,39.5,16.6,2,583,6,42,309,56,583,2,9,7,0,0,0,351,450,78,22,5,44,5339,1196,203,241,84.2,102,31,81.6,7,2,9,0,0,0,422,7,2,9
Fabio Torsiello,ST,2023-2024,18,it ITA,Darmstadt 98,de Bundesliga,10,156,1.7,1,9,4,0,,0,16.7,0,0.3,0.3,0.1,0.3,-0.3,-0.3,0,0.07,4,0,,0,0,16.7,0,48,1,5,20,3,48,0,0,0,0,0,0,21,27,77.8,2,1,4,367,173,10,10,100,6,3,42.9,0,0,0,0,0,0,23,0,0,0
Adama Traoré,RW,2023-2024,27,es ESP,Fulham,eng Premier League,17,377,4.2,1,16,11,0.18,0.29,7,16,0,1.5,2.2,0.9,2.2,+0.5,+0.5,+2.3,0.14,11,0.18,0.29,7,63.6,16,0,194,4,28,118,24,194,3,5,2,0,0,0,97,139,69.8,9,4,16,1487,457,52,62,83.9,38,5,41.7,2,3,5,0,0,0,137,2,3,5
Chaka Traorè,LW,2023-2024,18,ci CIV,Milan,it Serie A,2,20,0.2,0,2,1,1,1,1,17.3,0,0.1,0.1,0,0.1,+0.9,+0.9,0,0.08,1,1,1,1,100,17.3,0,16,0,4,6,1,16,0,1,1,0,0,0,9,11,81.8,0,0,0,121,19,5,5,100,4,0,0,1,0,1,0,0,0,11,1,0,1
Óscar Trejo,SS,2023-2024,35,ar ARG,Rayo Vallecano,es La Liga,31,1380,15.3,19,12,18,0,0,3,19.6,0,0.9,2.2,2.1,2.2,-0.9,-0.9,-1.3,0.05,18,0,0,3,16.7,19.6,0,1016,15,76,411,51,1016,0,0,0,0,0,0,646,782,82.6,25,0,124,8596,2457,409,455,89.9,170,30,53.6,0,0,0,0,0,0,738,0,0,0
Mike Trésor,RW,2023-2024,24,be BEL,Burnley,eng Premier League,16,420,4.7,3,13,5,0,,0,19.7,1,0.5,0.9,0.5,0.9,-0.5,-0.5,-0.4,0.09,5,0,,0,0,19.7,1,238,7,48,121,6,238,0,0,0,0,0,0,120,180,66.7,2,0,10,1614,462,73,86,84.9,32,4,21.1,0,0,0,0,0,0,156,0,0,0
Leandro Trossard,LW,2023-2024,28,be BEL,Arsenal,eng Premier League,34,1649,18.3,18,16,60,0.2,0.55,22,16.1,0,7.9,10.7,3.2,10.7,+4.1,+4.1,-1.8,0.13,60,0.2,0.55,22,36.7,16.1,0,912,15,105,502,121,912,1,13,12,0,0,0,494,673,73.4,29,4,76,7666,1927,271,315,86,181,31,51.7,12,1,13,0,0,0,625,12,1,13
Enes Ünal,ST,2023-2024,26,tr TUR,2 Teams,2 Comps,19,468,5.2,3,16,24,0.08,0.25,8,12.7,2,3,3.9,0.5,4.4,-1,-1,+1.6,0.13,24,0.08,0.25,8,33.3,12.7,2,196,11,21,99,34,196,3,5,2,0,0,0,79,110,71.8,2,0,8,1015,334,51,67,76.1,16,5,71.4,2,3,5,0,0,0,102,2,3,5
Deniz Undav,ST,2023-2024,27,de GER,Stuttgart,de Bundesliga,30,2089,23.2,23,7,106,0.17,0.35,51,17.4,0,15,21.6,6.1,20.8,+3.0,+3.7,+3.5,0.13,106,0.17,0.35,51,48.1,17.4,0,1089,9,69,537,147,1088,10,28,18,0,1,1,595,799,74.5,44,2,120,8387,2679,342,420,81.4,186,27,57.4,18,10,28,0,1,1,758,18,10,28
Myrto Uzuni,ST,2023-2024,28,al ALB,Granada,es La Liga,34,2448,27.2,28,6,58,0.12,0.29,24,17.9,2,12.9,15.5,3,11.6,-1.9,-2,-1.6,0.16,58,0.12,0.29,24,41.4,17.9,2,518,14,64,244,91,513,1,12,7,4,5,1,234,301,77.7,10,2,18,3414,492,141,163,86.5,74,13,59.1,11,1,12,4,5,1,259,11,1,12
Kévin Van Den Kerkhof,RW,2023-2024,27,dz ALG,Metz,fr Ligue 1,29,1913,21.3,21,8,21,0.05,0.14,7,19.3,0,1.5,5,2.3,5,-0.5,-0.5,-1.5,0.07,21,0.05,0.14,7,33.3,19.3,0,782,33,156,381,42,782,2,3,1,0,0,0,315,551,57.2,20,15,28,5347,1621,159,219,72.6,104,43,44.8,1,2,3,0,0,0,483,1,2,3
Borja Vázquez,ST,2023-2024,18,es ESP,Cádiz,es La Liga,1,4,0,0,1,0,,,0,,0,0,0.1,0,0.1,0,0,-0.1,,0,,,0,,,0,5,0,2,2,0,5,0,0,0,0,0,0,1,2,50,1,0,1,19,15,0,0,,1,0,0,0,0,0,0,0,0,2,0,0,0
Alejo Véliz,ST,2023-2024,19,ar ARG,2 Teams,2 Comps,14,85,0.9,0,14,4,0.25,0.33,3,9.5,0,0.5,0.2,0,0.5,+0.5,+0.5,0,0.12,4,0.25,0.33,3,75,9.5,0,32,1,3,17,6,32,0,1,1,0,0,0,9,16,56.3,0,0,1,140,7,4,8,50,3,1,100,1,0,1,0,0,0,12,1,0,1
Simone Verdi,RW,2023-2024,31,it ITA,Torino,it Serie A,1,4,0,0,1,0,,,0,,0,0,0.1,0,0.1,0,0,-0.1,,0,,,0,,,0,2,0,1,1,0,2,0,0,0,0,0,0,1,1,100,0,0,0,7,5,1,1,100,0,0,,0,0,0,0,0,0,1,0,0,0
Yorbe Vertessen,LW,2023-2024,22,be BEL,Union Berlin,de Bundesliga,13,593,6.6,7,6,24,0.13,0.33,9,16.8,0,2.7,4,0.7,4,+0.3,+0.3,+0.7,0.11,24,0.13,0.33,9,37.5,16.8,0,241,3,30,128,33,241,2,5,3,0,0,0,98,138,71,5,0,13,1119,351,68,88,77.3,19,1,50,3,2,5,0,0,0,133,3,2,5
Carlos Vicente,RW,2023-2024,24,es ESP,Alavés,es La Liga,18,1114,12.4,12,6,15,0.13,0.25,8,15.2,1,2.3,6,2.9,6,-0.3,-0.3,+0.3,0.16,15,0.13,0.25,8,53.3,15.2,1,499,7,63,268,41,499,4,6,2,0,0,0,201,357,56.3,18,14,23,3443,1278,97,140,69.3,67,27,40.9,2,4,6,0,0,0,301,2,4,6
Oscar Vilhelmsson,ST,2023-2024,19,se SWE,Darmstadt 98,de Bundesliga,26,1374,15.3,16,10,28,0.14,0.4,10,14.7,0,4.1,4.7,0.6,4.7,-0.1,-0.1,+0.3,0.15,28,0.14,0.4,10,35.7,14.7,0,362,24,40,164,41,362,1,5,4,0,0,0,123,212,58,2,0,7,1513,234,78,115,67.8,32,3,27.3,4,1,5,0,0,0,200,4,1,5
Toni Villa,LW,2023-2024,28,es ESP,Girona,es La Liga,2,13,0.1,0,2,1,0,0,1,18.9,0,0,0,0,0,0,0,0,0.02,1,0,0,1,100,18.9,0,12,0,0,8,1,12,0,0,0,0,0,0,7,9,77.8,0,0,1,119,18,2,2,100,4,1,100,0,0,0,0,0,0,7,0,0,0
Asier Villalibre,ST,2023-2024,25,es ESP,Athletic Club,es La Liga,18,513,5.7,4,14,12,0.17,0.33,6,11.5,0,1.7,2.7,0.7,2.7,+0.3,+0.3,0,0.14,12,0.17,0.33,6,50,11.5,0,179,6,18,98,31,179,1,3,2,0,0,0,88,124,71,5,0,10,1078,184,61,79,77.2,17,3,75,2,1,3,0,0,0,119,2,1,3
Carlos Vinícius,ST,2023-2024,28,br BRA,Fulham,eng Premier League,13,315,3.5,2,11,9,0.22,0.4,5,10.9,0,1.6,2.4,0.1,2.4,+0.4,+0.4,-0.8,0.18,9,0.22,0.4,5,55.6,10.9,0,102,1,11,45,15,102,0,2,2,0,0,0,46,62,74.2,0,0,3,587,115,28,34,82.4,14,1,100,2,0,2,0,0,0,61,2,0,2
Alan Virginius,RW,2023-2024,20,fr FRA,2 Teams,fr Ligue 1,16,1005,11.2,13,3,10,0,0,6,15,0,1.3,0,2.8,2.9,-1.3,-1.3,+0.5,0.13,10,0,0,6,60,15,0,321,7,40,147,42,321,2,2,0,0,0,0,150,226,66.4,5,2,23,2144,599,78,100,78,51,6,42.9,0,2,2,0,0,0,199,0,2,2
Vitinha,ST,2023-2024,23,pt POR,2 Teams,2 Comps,27,1208,13.4,12,15,51,0.1,0.36,14,12.7,0,6.2,1.3,2.6,9.2,-1.2,-1.2,-1,0.12,51,0.1,0.36,14,27.5,12.7,0,478,13,48,274,93,478,2,7,5,0,0,0,193,277,69.7,11,4,27,2748,713,104,127,81.9,64,10,50,5,2,7,0,0,0,251,5,2,7
Dušan Vlahović,ST,2023-2024,23,rs SRB,Juventus,it Serie A,33,2307,25.6,27,6,106,0.13,0.4,35,15.8,7,16.6,18.9,1.6,15.6,-0.6,+0.7,+1.7,0.13,106,0.13,0.4,35,33,15.8,7,833,14,63,410,152,829,4,20,14,2,4,2,380,542,70.1,14,1,46,5845,888,192,253,75.9,150,18,52.9,16,4,20,2,4,2,492,16,4,20
Kevin Volland,ST,2023-2024,31,de GER,2 Teams,2 Comps,26,1345,14.9,17,9,33,0.03,0.1,10,19.7,0,5.3,,2.3,5.6,-2.3,-1.9,+1.4,0.09,33,0.03,0.1,10,30.3,19.7,0,575,9,77,252,51,572,4,7,1,2,3,1,258,420,61.4,18,5,48,4382,1570,135,184,73.4,80,31,46.3,3,4,7,2,3,1,372,3,4,7
Elye Wahi,ST,2023-2024,20,fr FRA,2 Teams,fr Ligue 1,28,1706,19,20,8,59,0.14,0.27,30,13.3,0,11.5,0.6,1.1,14,-2.5,-2.7,-0.3,0.18,59,0.14,0.27,30,50.8,13.3,0,491,1,18,282,116,490,3,12,8,1,1,0,220,301,73.1,4,0,16,2641,344,128,163,78.5,58,7,63.6,9,3,12,1,1,0,263,9,3,12
Ollie Watkins,ST,2023-2024,27,eng ENG,Aston Villa,eng Premier League,37,3217,35.7,37,0,107,0.18,0.4,47,12.8,0,16.8,24.2,4.2,24.2,+2.2,+2.2,+5.7,0.16,107,0.18,0.4,47,43.9,12.8,0,958,28,56,542,215,958,13,32,19,0,0,0,459,609,75.4,22,0,55,5830,932,293,363,80.7,124,9,47.4,19,13,32,0,0,0,586,19,13,32
Wout Weghorst,ST,2023-2024,30,nl NED,Hoffenheim,de Bundesliga,28,1977,22,24,4,38,0.16,0.43,14,13.3,0,7.2,10.7,2.8,9.9,-0.2,-0.4,-0.5,0.17,38,0.16,0.43,14,36.8,13.3,0,790,32,69,355,108,789,3,10,6,1,1,0,414,571,72.5,20,0,57,5269,1114,262,339,77.3,102,17,73.9,7,3,10,1,1,0,551,7,3,10
Nelson Weiper,ST,2023-2024,18,de GER,Mainz 05,de Bundesliga,5,124,1.4,1,4,2,0,,0,8.2,0,0.5,0.6,0.1,0.6,-0.5,-0.5,-0.2,0.24,2,0,,0,0,8.2,0,64,0,5,39,10,64,0,0,0,0,0,0,24,40,60,1,0,2,301,40,13,17,76.5,7,0,,0,0,0,0,0,0,39,0,0,0
Shon Weissman,ST,2023-2024,27,il ISR,2 Teams,2 Comps,16,576,6.4,5,11,7,0.14,1,1,11.4,0,1.1,1.1,0.1,1.2,-0.1,-0.1,-0.1,0.15,7,0.14,1,1,14.3,11.4,0,146,8,23,59,13,146,0,1,1,0,0,0,59,80,73.8,1,1,5,811,99,34,44,77.3,13,5,83.3,1,0,1,0,0,0,75,1,0,1
Danny Welbeck,ST,2023-2024,32,eng ENG,Brighton,eng Premier League,29,1693,18.8,21,8,41,0.12,0.31,16,14.5,1,5.3,7,1.4,7,-0.3,-0.3,-0.7,0.13,41,0.12,0.31,16,39,14.5,1,727,20,71,325,73,727,1,6,5,0,0,0,423,515,82.1,13,0,44,4847,730,304,349,87.1,91,1,50,5,1,6,0,0,0,490,5,1,6
Timo Werner,ST,2023-2024,27,de GER,2 Teams,2 Comps,21,1016,11.3,12,9,37,0.08,0.25,12,14.9,0,6.1,6.4,3,8,-2.1,-2.3,+0.2,0.14,37,0.08,0.25,12,32.4,14.9,0,563,3,40,359,84,562,3,7,3,1,1,0,342,454,75.3,20,5,47,5032,992,197,232,84.9,131,10,52.6,4,3,7,1,1,0,432,4,3,7
Ethan Wheatley,ST,2023-2024,17,eng ENG,Manchester Utd,eng Premier League,3,16,0.2,0,3,0,,,0,,0,0,0,0,0,0,0,0,,0,,,0,,,0,6,0,0,3,0,6,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Iñaki Williams,ST,2023-2024,29,gh GHA,Athletic Club,es La Liga,34,2844,31.6,32,2,93,0.13,0.28,43,15.4,0,9.4,15.8,5.8,15.8,+2.6,+2.6,-3.3,0.1,93,0.13,0.28,43,46.2,15.4,0,1435,47,134,859,175,1435,3,15,12,0,0,0,668,995,67.1,53,17,78,8942,2406,444,557,79.7,191,18,32.7,12,3,15,0,0,0,953,12,3,15
Nico Williams,LW,2023-2024,21,es ESP,Athletic Club,es La Liga,31,2263,25.1,29,2,56,0.09,0.26,19,15.7,1,6,11.7,7.5,11.7,-1,-1,+5.3,0.11,56,0.09,0.26,19,33.9,15.7,1,1203,14,112,746,148,1203,11,16,5,0,0,0,579,828,69.9,48,22,66,9035,2545,321,374,85.8,196,43,42.6,5,11,16,0,0,0,739,5,11,16
Willian,LW,2023-2024,34,br BRA,Fulham,eng Premier League,31,2053,22.8,24,7,43,0.05,0.13,16,20.4,2,5.1,9,4.5,7.5,-1.1,-1.6,-1.9,0.08,43,0.05,0.13,16,37.2,20.4,2,1333,17,160,671,73,1331,2,6,2,2,2,0,932,1145,81.4,69,9,153,16128,3848,460,513,89.7,337,109,69.4,4,2,6,2,2,0,1081,4,2,6
Callum Wilson,ST,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,20,991,11,9,11,33,0.21,0.39,18,11.8,0,8.8,9.4,0.6,7.8,+0.2,-0.2,+0.4,0.22,33,0.21,0.39,18,54.5,11.8,0,304,6,11,168,77,302,1,10,7,2,2,0,105,163,64.4,2,0,9,1266,184,65,83,78.3,25,3,42.9,9,1,10,2,2,0,152,9,1,10
Harry Wilson,RW,2023-2024,26,wls WAL,Fulham,eng Premier League,35,1620,18,16,19,40,0.1,0.31,13,19.1,3,3.4,6.8,2.7,6.8,+0.6,+0.6,+2.5,0.08,40,0.1,0.31,13,32.5,19.1,3,828,24,118,371,53,828,6,10,4,0,0,0,478,632,75.6,26,7,60,7538,1644,254,294,86.4,153,48,57.8,4,6,10,0,0,0,591,4,6,10
Patrick Wimmer,LW,2023-2024,22,at AUT,Wolfsburg,de Bundesliga,14,589,6.5,8,6,10,0.2,0.5,4,16.2,0,1.4,1.5,0.3,1.5,+0.6,+0.6,-0.1,0.14,10,0.2,0.5,4,40,16.2,0,292,2,42,117,23,292,0,2,2,0,0,0,128,200,64,3,0,15,1822,525,78,101,77.2,35,5,33.3,2,0,2,0,0,0,193,2,0,2
Jonas Wind,ST,2023-2024,24,dk DEN,Wolfsburg,de Bundesliga,34,2651,29.5,31,3,72,0.15,0.32,34,16.1,0,9.4,14.5,3.9,13.6,+1.6,+2.5,+1.9,0.12,72,0.15,0.32,34,47.2,16.1,0,920,24,72,403,107,919,7,18,11,0,1,1,473,673,70.3,27,0,88,6971,1949,274,356,77,151,27,67.5,11,7,18,0,1,1,628,11,7,18
Yoane Wissa,ST,2023-2024,26,cd COD,Brentford,eng Premier League,34,2493,27.7,29,5,67,0.18,0.5,24,12.9,0,10.6,14.5,2,14.5,+1.4,+1.4,-0.9,0.16,67,0.18,0.5,24,35.8,12.9,0,751,22,119,366,122,751,3,15,12,0,0,0,327,462,70.8,16,4,48,4297,1135,197,248,79.4,84,16,55.2,12,3,15,0,0,0,444,12,3,15
Nick Woltemade,SS,2023-2024,21,de GER,Werder Bremen,de Bundesliga,30,1189,13.2,12,18,22,0.09,0.33,6,14.2,0,2.4,4.1,1.8,4.1,-0.4,-0.4,-1.7,0.11,22,0.09,0.33,6,27.3,14.2,0,623,12,74,255,55,623,0,2,2,0,0,0,316,412,76.7,16,1,43,4609,1137,178,219,81.3,94,24,63.2,2,0,2,0,0,0,401,2,0,2
Chris Wood,ST,2023-2024,31,nz NZL,Nott'ham Forest,eng Premier League,31,1812,20.1,20,11,48,0.29,0.54,26,10.2,0,11.9,14,1.1,14,+2.1,+2.1,-1.1,0.25,48,0.29,0.54,26,54.2,10.2,0,628,34,80,237,92,628,1,15,14,0,0,0,278,433,64.2,3,0,30,3415,784,178,260,68.5,70,7,63.6,14,1,15,0,0,0,428,14,1,15
Cauley Woodrow,ST,2023-2024,28,eng ENG,Luton Town,eng Premier League,24,427,4.7,2,22,16,0.06,0.25,4,18.7,1,1.4,2.6,0.9,2.6,-0.4,-0.4,-0.2,0.09,16,0.06,0.25,4,25,18.7,1,223,18,42,99,21,223,1,2,1,0,0,0,110,152,72.4,4,4,6,1530,250,66,82,80.5,31,4,33.3,1,1,2,0,0,0,145,1,1,2
Xeber,RW,2023-2024,26,es ESP,Alavés,es La Liga,10,302,3.4,3,7,5,0,,0,16.4,0,0.4,1,0.5,1,-0.4,-0.4,-0.6,0.07,5,0,,0,0,16.4,0,137,3,25,80,17,137,0,0,0,0,0,0,68,100,68,1,0,6,991,239,46,53,86.8,17,4,40,0,0,0,0,0,0,96,0,0,0
Lamine Yamal,RW,2023-2024,16,es ESP,Barcelona,es La Liga,37,2201,24.5,22,15,58,0.09,0.24,21,17.5,0,5.2,11.4,6.5,11.4,-0.2,-0.2,-1.2,0.09,58,0.09,0.24,21,36.2,17.5,0,1475,14,118,923,147,1475,5,10,5,0,0,0,903,1132,79.8,52,16,80,12868,3009,572,650,88,262,44,57.1,5,5,10,0,0,0,1091,5,5,10
Roman Yaremchuk,ST,2023-2024,27,ua UKR,Valencia,es La Liga,25,928,10.3,11,14,18,0.17,0.33,9,12.3,0,4.6,4.8,0.2,4.8,-1.6,-1.6,-0.1,0.26,18,0.17,0.33,9,50,12.3,0,315,10,19,163,34,315,0,3,3,0,0,0,142,210,67.6,4,0,20,1794,404,98,130,75.4,30,6,100,3,0,3,0,0,0,191,3,0,3
Kelvin Yeboah,ST,2023-2024,23,it ITA,Montpellier,fr Ligue 1,13,276,3.1,0,13,6,0,0,3,15.3,0,0.5,0.7,0.1,0.7,-0.5,-0.5,-0.3,0.08,6,0,0,3,50,15.3,0,126,7,23,61,18,126,0,0,0,0,0,0,58,79,73.4,0,0,5,762,190,35,40,87.5,18,1,25,0,0,0,0,0,0,77,0,0,0
Bertuğ Yıldırım,ST,2023-2024,21,tr TUR,Rennes,fr Ligue 1,21,469,5.2,2,19,10,0,0,4,11.9,0,1.4,2.1,0.2,2.1,-1.4,-1.4,+0.3,0.14,10,0,0,4,40,11.9,0,155,4,16,62,21,155,1,1,0,0,0,0,73,106,68.9,1,0,11,1066,194,37,51,72.5,26,4,66.7,0,1,1,0,0,0,99,0,1,1
Kenan Yıldız,LW,2023-2024,18,tr TUR,Juventus,it Serie A,27,952,10.6,9,18,19,0.11,0.29,7,16.6,0,1.6,2.7,1.6,2.7,+0.4,+0.4,-1.1,0.09,19,0.11,0.29,7,36.8,16.6,0,461,7,58,218,36,461,0,2,2,0,0,0,284,349,81.4,13,2,40,3984,1191,183,203,90.1,78,14,53.8,2,0,2,0,0,0,338,2,0,2
Mattia Zaccagni,LW,2023-2024,28,it ITA,Lazio,it Serie A,28,1956,21.7,24,4,42,0.14,0.46,13,17.6,3,4.7,7.6,3.3,7.6,+1.3,+1.3,-1.9,0.12,42,0.14,0.46,13,31,17.6,3,1164,19,129,571,79,1164,1,7,6,0,0,0,711,899,79.1,26,5,55,10281,2132,428,471,90.9,208,43,51.2,6,1,7,0,0,0,823,6,1,7
Nicolò Zaniolo,SS,2023-2024,24,it ITA,Aston Villa,eng Premier League,25,839,9.3,9,16,27,0.07,0.2,10,14,0,2.6,3.6,0.7,3.6,-0.6,-0.6,-1,0.09,27,0.07,0.2,10,37,14,0,402,11,53,184,60,402,0,2,2,0,0,0,150,228,65.8,5,0,30,2141,550,94,119,79,44,6,40,2,0,2,0,0,0,225,2,0,2
Duván Zapata,ST,2023-2024,32,co COL,2 Teams,it Serie A,37,2992,33.2,36,1,104,0.13,0.33,40,13.3,0,11.3,13.9,1.6,14.5,+1.7,+1.7,+0.8,0.11,104,0.13,0.33,40,38.5,13.3,0,1283,37,88,677,206,1283,4,17,13,0,0,0,528,802,65.8,14,0,55,7538,1186,315,422,74.6,146,32,55.2,13,4,17,0,0,0,754,13,4,17
Anass Zaroury,LW,2023-2024,22,ma MAR,Burnley,eng Premier League,6,152,1.7,1,5,3,0,0,1,20.9,0,0.2,0.2,0.1,0.2,-0.2,-0.2,0,0.06,3,0,0,1,33.3,20.9,0,87,1,12,37,4,87,0,0,0,0,0,0,43,70,61.4,2,1,2,714,120,23,31,74.2,13,6,54.5,0,0,0,0,0,0,65,0,0,0
Edon Zhegrova,RW,2023-2024,24,xk KVX,Lille,fr Ligue 1,33,2288,25.4,25,8,82,0.07,0.21,29,20.3,8,6.2,12.4,7.8,12.4,-0.2,-0.2,-0.2,0.08,82,0.07,0.21,29,35.4,20.3,8,1387,17,110,842,115,1387,6,12,6,0,0,0,764,1043,73.3,53,13,90,12061,3392,408,473,86.3,296,42,36.5,6,6,12,0,0,0,905,6,6,12
Joshua Zirkzee,ST,2023-2024,22,nl NED,Bologna,it Serie A,34,2759,30.7,32,2,84,0.11,0.31,29,17.8,3,9,14.2,2.5,12.6,+2.0,+1.6,-1.2,0.09,84,0.11,0.31,29,34.5,17.8,3,1374,46,135,630,136,1372,4,15,9,2,2,0,710,917,77.4,28,0,86,9106,1752,446,539,82.7,166,32,69.6,11,4,15,2,2,0,850,11,4,15
Simon Zoller,ST,2023-2024,32,de GER,Bochum,de Bundesliga,1,45,0.5,0,1,0,,,0,,0,0,0,0,0,0,0,0,,0,,,0,,,0,10,1,1,1,0,10,0,0,0,0,0,0,5,8,62.5,0,0,0,97,0,2,3,66.7,2,1,100,0,0,0,0,0,0,6,0,0,0
Lovro Zvonarek,SS,2023-2024,18,hr CRO,Bayern Munich,de Bundesliga,5,163,1.8,1,4,1,1,1,1,16.8,0,0.1,0.3,0.3,0.3,+0.9,+0.9,-0.2,0.07,1,1,1,1,100,16.8,0,73,2,9,26,8,73,0,1,1,0,0,0,50,60,83.3,1,0,7,766,123,20,23,87,25,2,100,1,0,1,0,0,0,59,1,0,1
