Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Pos
Alexander Sørloth,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1566,17.4,15,20,2,20,2,22,19,1,1,0,79,0.24,0.45,42,53.2,FW
Elye Wahi,2022-2023,19,ci CIV,Montpellier,fr Ligue 1,33,2513,27.9,29,4,0,19,5,24,18,1,1,0,63,0.29,0.47,38,60.3,FW
Yoane Wissa,2024-2025,27,cd COD,Brentford,eng Premier League,35,2919,32.4,34,1,0,19,4,23,19,0,0,0,90,0.21,0.44,43,47.8,FW
Moise Kean,2024-2025,24,it ITA,Fiorentina,it Serie A,32,2704,30,31,1,0,19,3,22,18,1,2,1,105,0.17,0.35,51,48.6,FW
Jude Bellingham,2023-2024,20,eng ENG,Real Madrid,es La Liga,28,2315,25.7,27,1,4,19,6,25,18,1,1,0,63,0.29,0.51,35,55.6,"MF,FW"
Karim Benzema,2022-2023,34,fr FRA,Real Madrid,es La Liga,24,2038,22.6,24,0,0,19,3,22,12,7,8,1,107,0.11,0.27,45,42.1,FW
Ayoze Pérez,2024-2025,31,es ESP,Villarreal,es La Liga,30,1970,21.9,22,8,0,19,2,21,19,0,0,0,75,0.25,0.61,31,41.3,FW
Robert Lewandowski,2023-2024,34,pl POL,Barcelona,es La Liga,35,2750,30.6,32,3,0,19,8,27,15,4,4,0,93,0.16,0.35,43,46.2,FW
Wissam Ben Yedder,2022-2023,31,fr FRA,Monaco,fr Ligue 1,32,2114,23.5,28,4,4,19,6,25,14,5,6,1,72,0.19,0.32,44,61.1,FW
Alexandre Lacazette,2023-2024,32,fr FRA,Lyon,fr Ligue 1,29,2293,25.5,27,2,0,19,2,21,17,2,2,0,62,0.27,0.47,36,58.1,FW
Ollie Watkins,2023-2024,27,eng ENG,Aston Villa,eng Premier League,37,3217,35.7,37,0,0,19,13,32,19,0,0,0,106,0.18,0.41,46,43.4,FW
Jonathan David,2023-2024,23,ca CAN,Lille,fr Ligue 1,34,2629,29.2,30,4,0,19,4,23,17,2,3,1,79,0.22,0.36,47,59.5,FW
Deniz Undav,2025-2026,29,de GER,Stuttgart,de Bundesliga,29,2241,24.9,25,4,0,19,7,26,19,0,1,1,124,0.15,0.41,46,37.1,"FW,MF"
Mohamed Salah,2022-2023,30,eg EGY,Liverpool,eng Premier League,38,3290,36.6,37,1,0,19,12,31,17,2,4,2,125,0.14,0.36,47,37.6,FW
