,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live.1,Dead,FK.1,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
500,Yussuf Poulsen,ST,2023-2024,29.0,Denmark,RB Leipzig,Bundesliga,28,1217,13.5,12,16,207.0,289.0,71.6,13.0,5.0,2.0,16.0,130.0,164.0,79.3,48.0,66.0,72.7,6.0,10,60.0,5.7,5.7,1.0,6.8,2.3,6.8,-0.7,-0.7,0.2,29.0,0.17,16.0,55.2,10.6,0.0,29.0,0.17,0.31,16,55.2,5.0,2.0,7.0,5,0.0,0.0,0,424.0,16.0,175.0,424.0,5,2,7,0,0,0,272,19,34,35.8
501,Abdón Prats,ST,2023-2024,30.0,Spain,Mallorca,La Liga,34,1270,14.1,11,23,132.0,240.0,55.0,14.0,8.0,0.0,26.0,73.0,110.0,66.4,42.0,71.0,59.2,12.0,23,52.2,3.2,3.2,2.4,5.6,1.2,5.6,2.8,2.8,0.1,33.0,0.18,14.0,42.4,14.8,2.0,33.0,0.18,0.43,14,42.4,6.0,1.0,7.0,6,0.0,0.0,0,376.0,16.0,181.0,376.0,6,1,7,0,0,0,228,39,60,39.4
502,Arnau Puigmal,RW,2023-2024,22.0,Spain,Almería,La Liga,11,255,2.8,3,8,65.0,93.0,69.9,3.0,4.0,1.0,8.0,42.0,46.0,91.3,16.0,22.0,72.7,5.0,17,29.4,0.0,0.0,0.3,0.3,0.2,0.3,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0,,0.0,0.0,0.0,0,0.0,0.0,0,122.0,2.0,48.0,122.0,0,0,0,0,0,0,80,1,3,25.0
503,Christian Pulisic,RW,2023-2024,24.0,United States,Milan,Serie A,36,2602,28.9,32,4,832.0,1074.0,77.5,44.0,43.0,18.0,87.0,483.0,555.0,87.0,282.0,348.0,81.0,32.0,63,50.8,8.0,8.0,4.8,12.8,4.5,12.8,4.0,4.0,0.12,65.0,0.18,31.0,47.7,15.7,0.0,65.0,0.18,0.39,31,47.7,12.0,8.0,20.0,12,0.0,0.0,0,1389.0,15.0,709.0,1389.0,12,8,20,0,0,0,1035,16,26,38.1
504,George Pușcaș,ST,2023-2024,27.0,Romania,Genoa,Serie A,8,191,2.1,1,7,34.0,61.0,55.7,1.0,1.0,0.0,3.0,24.0,37.0,64.9,8.0,14.0,57.1,0.0,1,0.0,2.1,2.1,0.1,2.2,0.1,2.2,-2.1,-2.1,0.19,11.0,0.0,5.0,45.5,12.9,0.0,11.0,0.0,0.0,5,45.5,0.0,0.0,0.0,0,0.0,0.0,0,92.0,2.0,46.0,92.0,0,0,0,0,0,0,58,12,8,60.0
505,Largie Ramazani,LW,2023-2024,22.0,Belgium,Almería,La Liga,29,1555,17.3,16,13,203.0,340.0,59.7,26.0,16.0,2.0,42.0,109.0,150.0,72.7,64.0,108.0,59.3,19.0,43,44.2,4.7,4.7,5.7,10.5,2.4,10.5,-1.7,-1.7,0.12,40.0,0.08,12.0,30.0,17.5,1.0,40.0,0.08,0.25,12,30.0,3.0,5.0,8.0,3,0.0,0.0,0,578.0,11.0,263.0,578.0,3,5,8,0,0,0,331,5,25,16.7
506,Benito Ramírez,LW,2023-2024,28.0,Spain,Las Palmas,La Liga,20,384,4.3,2,18,136.0,196.0,69.4,2.0,5.0,3.0,5.0,99.0,109.0,90.8,23.0,37.0,62.2,8.0,29,27.6,0.4,0.4,0.5,0.9,0.4,0.9,0.6,0.6,0.04,10.0,0.1,3.0,30.0,22.5,1.0,10.0,0.1,0.33,3,30.0,1.0,1.0,2.0,1,0.0,0.0,0,245.0,6.0,112.0,245.0,1,1,2,0,0,0,170,2,11,15.4
507,Sandro Ramírez,ST,2023-2024,28.0,Spain,Las Palmas,La Liga,27,1808,20.1,21,6,516.0,690.0,74.8,32.0,25.0,4.0,54.0,302.0,353.0,85.6,148.0,178.0,83.1,47.0,92,51.1,3.7,3.0,2.6,6.4,3.0,5.6,-2.7,-2.0,0.06,51.0,0.02,18.0,35.3,21.7,5.0,51.0,0.02,0.06,18,35.3,1.0,3.0,4.0,1,0.0,1.0,1,901.0,17.0,515.0,900.0,1,3,4,0,1,1,574,7,11,38.9
508,Chris Ramos,ST,2023-2024,26.0,Spain,Cádiz,La Liga,37,2612,29.0,30,7,274.0,486.0,56.4,14.0,9.0,1.0,28.0,181.0,275.0,65.8,65.0,129.0,50.4,7.0,16,43.8,10.1,10.1,1.7,11.7,1.4,11.7,-5.1,-5.1,0.13,76.0,0.07,27.0,35.5,12.0,0.0,76.0,0.07,0.19,27,35.5,5.0,1.0,6.0,5,0.0,0.0,0,896.0,51.0,479.0,896.0,5,1,6,0,0,0,469,172,164,51.2
509,Gonçalo Ramos,ST,2023-2024,22.0,Portugal,Paris S-G,Ligue 1,29,1419,15.8,16,13,304.0,397.0,76.6,15.0,9.0,0.0,29.0,199.0,245.0,81.2,67.0,90.0,74.4,7.0,11,63.6,10.9,10.2,2.4,13.3,1.6,12.5,0.1,-0.2,0.19,54.0,0.19,20.0,37.0,13.2,0.0,54.0,0.19,0.5,20,37.0,11.0,1.0,12.0,10,1.0,1.0,0,592.0,17.0,282.0,591.0,11,1,12,1,1,0,389,30,23,56.6
510,Jacob Ramsey,LW,2023-2024,22.0,England,Aston Villa,Premier League,16,853,9.5,8,8,257.0,322.0,79.8,10.0,5.0,0.0,28.0,143.0,173.0,82.7,97.0,115.0,84.3,9.0,12,75.0,2.2,2.2,1.0,3.2,1.4,3.2,-1.2,-1.2,0.11,19.0,0.05,4.0,21.1,15.9,0.0,19.0,0.05,0.25,4,21.1,1.0,1.0,2.0,1,0.0,0.0,0,433.0,10.0,195.0,433.0,1,1,2,0,0,0,310,5,3,62.5
511,Raphinha,LW,2023-2024,26.0,Brazil,Barcelona,La Liga,28,1368,15.2,17,11,522.0,693.0,75.3,41.0,32.0,8.0,57.0,261.0,313.0,83.4,182.0,222.0,82.0,63.0,114,55.3,7.4,6.6,5.7,13.0,5.0,12.3,-1.4,-1.6,0.12,58.0,0.09,20.0,34.5,19.8,10.0,58.0,0.09,0.25,20,34.5,6.0,9.0,15.0,5,1.0,1.0,0,894.0,11.0,484.0,893.0,6,9,15,1,1,0,600,9,5,64.3
512,Marcus Rashford,LW,2023-2024,25.0,England,Manchester Utd,Premier League,33,2271,25.2,26,7,559.0,742.0,75.3,23.0,30.0,1.0,65.0,351.0,418.0,84.0,139.0,192.0,72.4,33.0,61,54.1,7.4,5.8,2.3,9.7,2.8,8.1,-0.4,-0.8,0.1,60.0,0.08,19.0,31.7,16.8,1.0,60.0,0.08,0.26,19,31.7,7.0,2.0,9.0,5,2.0,2.0,0,1024.0,24.0,570.0,1022.0,7,2,9,2,2,0,708,15,26,36.6
513,Giacomo Raspadori,ST,2023-2024,23.0,Italy,Napoli,Serie A,37,1584,17.6,14,23,525.0,709.0,74.0,36.0,15.0,5.0,54.0,242.0,289.0,83.7,198.0,258.0,76.7,67.0,113,59.3,5.9,4.5,4.0,9.9,3.0,8.5,-0.9,0.5,0.07,60.0,0.08,24.0,40.0,18.8,4.0,60.0,0.08,0.21,24,40.0,5.0,3.0,8.0,5,0.0,1.0,1,886.0,5.0,449.0,885.0,5,3,8,0,1,1,638,7,18,28.0
514,Raúl,ST,2023-2024,22.0,Spain,Osasuna,La Liga,35,1355,15.1,13,22,191.0,306.0,62.4,10.0,6.0,0.0,22.0,128.0,190.0,67.4,46.0,68.0,67.6,6.0,10,60.0,4.9,4.9,0.6,5.5,0.8,5.5,1.1,1.1,0.15,33.0,0.18,12.0,36.4,11.6,0.0,33.0,0.18,0.5,12,36.4,6.0,1.0,7.0,6,0.0,0.0,0,455.0,12.0,224.0,455.0,6,1,7,0,0,0,285,50,69,42.0
515,Abderrahman Rebbach,LW,2023-2024,24.0,Algeria,Alavés,La Liga,23,722,8.0,6,17,124.0,225.0,55.1,18.0,6.0,3.0,14.0,63.0,84.0,75.0,40.0,67.0,59.7,17.0,45,37.8,0.8,0.8,1.8,2.6,1.7,2.6,0.2,0.2,0.05,17.0,0.06,4.0,23.5,19.4,1.0,17.0,0.06,0.25,4,23.5,1.0,0.0,1.0,1,0.0,0.0,0,343.0,6.0,198.0,343.0,1,0,1,0,0,0,179,7,13,35.0
516,Nathan Redmond,RW,2023-2024,29.0,England,Burnley,Premier League,12,142,1.6,0,12,48.0,73.0,65.8,3.0,4.0,1.0,8.0,30.0,36.0,83.3,11.0,19.0,57.9,4.0,9,44.4,0.0,0.0,0.3,0.3,0.4,0.3,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0,,0.0,0.0,0.0,0,0.0,0.0,0,88.0,3.0,50.0,88.0,0,0,0,0,0,0,71,1,1,50.0
517,Bobby Reid,RW,2023-2024,30.0,Jamaica,Fulham,Premier League,33,1423,15.8,17,16,364.0,487.0,74.7,17.0,17.0,5.0,47.0,211.0,240.0,87.9,112.0,157.0,71.3,17.0,37,45.9,4.6,4.6,1.8,6.4,1.2,6.4,1.4,1.4,0.14,33.0,0.18,8.0,24.2,15.7,0.0,33.0,0.18,0.75,8,24.2,6.0,2.0,8.0,6,0.0,0.0,0,671.0,23.0,277.0,671.0,6,2,8,0,0,0,474,13,24,35.1
518,Mateo Retegui,ST,2023-2024,24.0,Italy,Genoa,Serie A,29,2216,24.6,26,3,265.0,412.0,64.3,11.0,5.0,0.0,17.0,177.0,233.0,76.0,61.0,104.0,58.7,6.0,15,40.0,5.8,5.0,0.7,6.6,0.6,5.8,1.2,1.0,0.08,62.0,0.1,22.0,35.5,14.3,0.0,62.0,0.1,0.27,22,35.5,7.0,2.0,9.0,6,1.0,1.0,0,685.0,33.0,308.0,684.0,7,2,9,1,1,0,381,60,61,49.6
519,Gio Reyna,RW,2023-2024,20.0,United States,2 Teams,2 Comps,20,515,5.7,3,17,284.0,333.0,85.3,14.0,9.0,2.0,32.0,174.0,186.0,93.5,91.0,108.0,84.3,12.0,20,60.0,1.1,1.1,1.2,0.8,1.5,2.4,-1.1,-1.1,0.09,13.0,0.0,4.0,30.8,18.9,0.0,13.0,0.0,0.0,4,30.8,0.0,1.0,1.0,0,0.0,0.0,0,412.0,11.0,187.0,412.0,0,1,1,0,0,0,317,11,14,44.0
520,Richarlison,ST,2023-2024,26.0,Brazil,Tottenham,Premier League,28,1491,16.6,18,10,267.0,392.0,68.1,15.0,13.0,1.0,38.0,153.0,193.0,79.3,85.0,119.0,71.4,10.0,15,66.7,9.6,9.6,2.1,11.7,1.4,11.7,1.4,1.4,0.15,62.0,0.18,25.0,40.3,12.9,0.0,62.0,0.18,0.44,25,40.3,11.0,4.0,15.0,11,0.0,0.0,0,652.0,33.0,322.0,652.0,11,4,15,0,0,0,360,25,57,30.5
521,Luis Rioja,LW,2023-2024,29.0,Spain,Alavés,La Liga,37,2498,27.8,31,6,551.0,855.0,64.4,41.0,38.0,19.0,77.0,280.0,351.0,79.8,193.0,279.0,69.2,56.0,133,42.1,6.1,3.0,3.9,10.0,4.2,6.9,-1.1,-1.0,0.06,53.0,0.04,15.0,28.3,21.6,4.0,53.0,0.04,0.13,15,28.3,5.0,4.0,9.0,2,3.0,4.0,1,1123.0,24.0,619.0,1119.0,5,4,9,3,4,1,757,10,23,30.3
522,Matt Ritchie,RW,2023-2024,33.0,Scotland,Newcastle Utd,Premier League,13,128,1.4,0,13,70.0,93.0,75.3,0.0,3.0,0.0,8.0,45.0,53.0,84.9,22.0,26.0,84.6,2.0,9,22.2,1.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.16,6.0,0.17,4.0,66.7,12.0,0.0,6.0,0.17,0.25,4,66.7,1.0,0.0,1.0,1,0.0,0.0,0,125.0,6.0,57.0,125.0,1,0,1,0,0,0,91,0,3,0.0
523,Sergio Rodelas,LW,2023-2024,18.0,Spain,Granada,La Liga,3,122,1.4,2,1,27.0,33.0,81.8,2.0,1.0,1.0,1.0,16.0,17.0,94.1,8.0,10.0,80.0,1.0,2,50.0,0.0,0.0,1.1,1.2,0.8,1.2,0.0,0.0,0.02,2.0,0.0,0.0,0.0,27.3,0.0,2.0,0.0,,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,53.0,0.0,24.0,53.0,0,1,1,0,0,0,30,0,2,0.0
524,Rodri,RW,2023-2024,23.0,Spain,Betis,La Liga,29,1051,11.7,9,20,449.0,570.0,78.8,15.0,32.0,6.0,65.0,258.0,286.0,90.2,144.0,183.0,78.7,27.0,48,56.3,1.1,1.1,1.2,2.2,2.2,2.2,-1.1,-1.1,0.06,18.0,0.0,5.0,27.8,18.6,0.0,18.0,0.0,0.0,5,27.8,0.0,0.0,0.0,0,0.0,0.0,0,711.0,3.0,299.0,711.0,0,0,0,0,0,0,544,0,9,0.0
525,Álvaro Rodríguez,ST,2023-2024,19.0,Uruguay,Real Madrid,La Liga,1,1,0.0,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0,,0.0,0.0,0.0,0,0.0,0.0,0,3.0,1.0,0.0,3.0,0,0,0,0,0,0,0,0,0,
526,Jay Rodriguez,ST,2023-2024,34.0,England,Burnley,Premier League,21,822,9.1,7,14,142.0,216.0,65.7,4.0,2.0,0.0,17.0,89.0,119.0,74.8,36.0,52.0,69.2,9.0,27,33.3,3.5,2.7,0.2,3.7,0.1,2.9,-1.5,-1.7,0.13,21.0,0.05,7.0,33.3,12.9,0.0,21.0,0.05,0.14,7,33.3,2.0,1.0,3.0,1,1.0,1.0,0,314.0,11.0,101.0,313.0,2,1,3,1,1,0,216,21,38,35.6
527,Rodrygo,RW,2023-2024,22.0,Brazil,Real Madrid,La Liga,34,2380,26.4,28,6,883.0,1007.0,87.7,46.0,44.0,4.0,90.0,639.0,683.0,93.6,166.0,202.0,82.2,19.0,33,57.6,11.7,10.9,4.0,15.7,4.2,14.9,-1.7,-0.9,0.13,86.0,0.12,35.0,40.7,15.2,4.0,86.0,0.12,0.29,35,40.7,10.0,5.0,15.0,10,0.0,1.0,1,1352.0,3.0,905.0,1351.0,10,5,15,0,1,1,961,5,21,19.2
528,Isaac Romero,ST,2023-2024,23.0,Spain,Sevilla,La Liga,14,1039,11.5,14,0,146.0,209.0,69.9,11.0,9.0,1.0,16.0,83.0,105.0,79.0,46.0,64.0,71.9,5.0,12,41.7,7.3,7.3,1.7,9.0,1.0,9.0,-3.3,-3.3,0.17,42.0,0.1,17.0,40.5,14.8,0.0,42.0,0.1,0.24,17,40.5,4.0,4.0,8.0,4,0.0,0.0,0,370.0,9.0,202.0,370.0,4,4,8,0,0,0,187,16,19,45.7
529,Luka Romero,RW,2023-2024,18.0,Argentina,2 Teams,2 Comps,17,526,5.8,5,12,170.0,187.0,90.9,2.0,3.0,1.0,17.0,113.0,120.0,94.2,48.0,53.0,90.6,1.0,1,100.0,1.4,1.4,0.1,0.1,0.2,1.5,1.6,1.6,0.17,9.0,0.33,3.0,33.3,15.2,0.0,9.0,0.33,1.0,3,33.3,3.0,0.0,3.0,3,0.0,0.0,0,274.0,6.0,90.0,274.0,3,0,3,0,0,0,182,3,7,30.0
530,Vitor Roque,ST,2023-2024,18.0,Brazil,Barcelona,La Liga,14,328,3.6,2,12,49.0,67.0,73.1,1.0,0.0,0.0,2.0,34.0,41.0,82.9,11.0,15.0,73.3,1.0,1,100.0,2.5,2.5,0.0,2.6,0.0,2.6,-0.5,-0.5,0.2,13.0,0.15,6.0,46.2,13.7,0.0,13.0,0.15,0.33,6,46.2,2.0,0.0,2.0,2,0.0,0.0,0,126.0,5.0,74.0,126.0,2,0,2,0,0,0,65,3,6,33.3
531,Emmanuel Sabbi,LW,2023-2024,25.0,United States,Le Havre,Ligue 1,30,1584,17.6,18,12,258.0,368.0,70.1,10.0,9.0,3.0,36.0,147.0,190.0,77.4,82.0,112.0,73.2,10.0,20,50.0,4.1,2.5,1.4,5.6,1.1,4.0,0.9,0.5,0.09,29.0,0.1,10.0,34.5,16.4,0.0,29.0,0.1,0.3,10,34.5,5.0,1.0,6.0,3,2.0,2.0,0,630.0,17.0,272.0,628.0,5,1,6,2,2,0,353,12,33,26.7
532,Umar Sadiq,ST,2023-2024,26.0,Nigeria,Real Sociedad,La Liga,26,1077,12.0,12,14,131.0,192.0,68.2,10.0,4.0,1.0,13.0,74.0,96.0,77.1,42.0,58.0,72.4,6.0,12,50.0,3.6,3.6,1.1,4.7,0.9,4.7,-0.6,-0.6,0.12,33.0,0.09,10.0,30.3,14.7,0.0,33.0,0.09,0.3,10,30.3,3.0,1.0,4.0,3,0.0,0.0,0,363.0,8.0,206.0,363.0,3,1,4,0,0,0,176,29,51,36.3
533,Alexis Saelemaekers,ST,2023-2024,24.0,Belgium,Bologna,Serie A,30,1887,21.0,21,9,786.0,1008.0,78.0,44.0,35.0,5.0,77.0,431.0,487.0,88.5,233.0,288.0,80.9,77.0,133,57.9,2.6,2.6,2.8,5.5,3.5,5.5,1.4,1.4,0.09,29.0,0.14,10.0,34.5,23.2,4.0,29.0,0.14,0.4,10,34.5,4.0,2.0,6.0,4,0.0,0.0,0,1271.0,7.0,558.0,1271.0,4,2,6,0,0,0,908,8,7,53.3
534,Wesley Saïd,ST,2023-2024,28.0,France,Lens,Ligue 1,27,1020,11.3,11,16,193.0,268.0,72.0,12.0,12.0,2.0,26.0,101.0,132.0,76.5,55.0,79.0,69.6,15.0,26,57.7,5.7,5.7,0.9,6.6,1.2,6.6,1.3,1.3,0.13,45.0,0.16,18.0,40.0,13.6,0.0,45.0,0.16,0.39,18,40.0,7.0,1.0,8.0,7,0.0,0.0,0,386.0,2.0,209.0,386.0,7,1,8,0,0,0,239,8,23,25.8
535,Bukayo Saka,RW,2023-2024,21.0,England,Arsenal,Premier League,35,2919,32.4,35,0,1143.0,1512.0,75.6,91.0,73.0,12.0,126.0,705.0,793.0,88.9,331.0,427.0,77.5,80.0,183,43.7,15.5,10.8,10.5,26.0,11.0,21.2,0.5,-0.8,0.11,102.0,0.1,31.0,30.4,16.3,0.0,102.0,0.1,0.32,31,30.4,16.0,9.0,25.0,10,6.0,6.0,0,1952.0,37.0,1310.0,1946.0,16,9,25,6,6,0,1365,23,36,39.0
536,Ibrahim Salah,LW,2023-2024,21.0,Morocco,Rennes,Ligue 1,23,524,5.8,4,19,17.0,0.24,0.44,9.0,15.5,0.0,3.1,3.6,1.2,3.6,0.9,0.9,0.5,0.19,17,0.24,0.44,9.0,52.9,15.5,0.0,341.0,14.0,59.0,159.0,18.0,341.0,1.0,5.0,4.0,0.0,0.0,0.0,177.0,232,76.3,7.0,2.0,18.0,2754,612.0,97.0,111,87.4,60.0,12.0,52.2,4,1,5,0,0,0,230,4,1,5.0
537,Mohamed Salah,RW,2023-2024,31.0,Egypt,Liverpool,Premier League,32,2534,28.2,28,4,107.0,0.12,0.28,47.0,15.5,1.0,21.2,33.0,7.5,27.3,-3.2,-2.5,-1.8,0.15,107,0.12,0.28,47.0,43.9,15.5,1.0,1359.0,4.0,47.0,866.0,241.0,1352.0,10.0,28.0,13.0,5.0,7.0,2.0,737.0,1010,73.0,68.0,6.0,147.0,10826,3213.0,433.0,510,84.9,234.0,43.0,66.2,18,10,28,5,7,2,968,18,10,28.0
538,Amine Salama,LW,2023-2024,23.0,France,Reims,Ligue 1,11,313,3.5,2,9,6.0,0.0,0.0,1.0,13.8,0.0,0.7,1.0,0.2,1.0,-0.7,-0.7,-0.2,0.12,6,0.0,0.0,1.0,16.7,13.8,0.0,110.0,0.0,10.0,56.0,10.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,73,65.8,1.0,1.0,7.0,752,173.0,26.0,38,68.4,19.0,2.0,40.0,0,0,0,0,0,0,70,0,0,0.0
539,Mama Samba Baldé,ST,2023-2024,27.0,Guinea-Bissau,Lyon,Ligue 1,20,551,6.1,4,16,17.0,0.12,0.22,9.0,14.2,0.0,3.4,5.7,1.2,5.7,-1.4,-1.4,0.7,0.2,17,0.12,0.22,9.0,52.9,14.2,0.0,234.0,2.0,21.0,133.0,43.0,234.0,3.0,5.0,2.0,0.0,0.0,0.0,88.0,135,65.2,4.0,0.0,11.0,1223,294.0,51.0,66,77.3,26.0,4.0,57.1,2,3,5,0,0,0,132,2,3,5.0
540,Antonio Sanabria,ST,2023-2024,27.0,Paraguay,Torino,Serie A,35,2133,23.7,23,12,52.0,0.06,0.21,14.0,12.7,0.0,9.3,10.6,0.9,9.1,-4.3,-4.7,-1.4,0.15,52,0.06,0.21,14.0,26.9,12.7,0.0,856.0,14.0,78.0,322.0,82.0,854.0,0.0,5.0,3.0,2.0,2.0,0.0,494.0,624,79.2,10.0,1.0,57.0,7261,1214.0,287.0,339,84.7,143.0,33.0,70.2,5,0,5,2,2,0,587,5,0,5.0
541,Alexis Sánchez,ST,2023-2024,34.0,Chile,Inter,Serie A,23,763,8.5,6,17,17.0,0.06,0.2,5.0,16.4,2.0,3.2,6.4,2.8,5.6,-1.2,-1.5,1.9,0.14,17,0.06,0.2,5.0,29.4,16.4,2.0,453.0,0.0,28.0,240.0,37.0,452.0,5.0,7.0,1.0,1.0,1.0,0.0,276.0,367,75.2,24.0,2.0,53.0,4719,1255.0,143.0,170,84.1,77.0,41.0,69.5,2,5,7,1,1,0,335,2,5,7.0
542,Jadon Sancho,RW,2023-2024,23.0,England,2 Teams,2 Comps,17,1026,11.4,11,6,9.0,0.22,0.5,4.0,13.3,0.0,0.7,0.1,3.4,3.7,1.3,1.3,-1.1,0.08,9,0.22,0.5,4.0,44.4,13.3,0.0,673.0,15.0,84.0,370.0,62.0,673.0,2.0,4.0,2.0,0.0,0.0,0.0,448.0,555,80.7,28.0,4.0,66.0,6044,1784.0,292.0,336,86.9,115.0,18.0,62.1,2,2,4,0,0,0,522,2,2,4.0
543,Leroy Sané,LW,2023-2024,27.0,Germany,Bayern Munich,Bundesliga,27,2137,23.7,25,2,73.0,0.11,0.29,28.0,17.6,6.0,10.9,21.8,9.5,21.8,-2.9,-2.9,0.2,0.15,73,0.11,0.29,28.0,38.4,17.6,6.0,1398.0,6.0,99.0,880.0,143.0,1398.0,11.0,19.0,8.0,0.0,0.0,0.0,878.0,1098,80.0,47.0,2.0,113.0,12860,3036.0,538.0,612,87.9,254.0,57.0,58.2,8,11,19,0,0,0,987,8,11,19.0
544,Nicola Sansone,LW,2023-2024,31.0,Italy,Lecce,Serie A,25,767,8.5,4,21,23.0,0.09,0.4,5.0,18.9,2.0,2.8,4.1,0.9,4.1,-0.8,-0.8,0.7,0.12,23,0.09,0.4,5.0,21.7,18.9,2.0,372.0,4.0,48.0,159.0,26.0,372.0,2.0,4.0,2.0,0.0,0.0,0.0,207.0,277,74.7,10.0,2.0,36.0,3177,948.0,115.0,129,89.1,62.0,18.0,45.0,2,2,4,0,0,0,253,2,2,4.0
545,Riccardo Saponara,LW,2023-2024,31.0,Italy,Hellas Verona,Serie A,12,342,3.8,3,9,5.0,0.0,0.0,1.0,25.6,0.0,0.1,0.3,0.2,0.3,-0.1,-0.1,-0.2,0.02,5,0.0,0.0,1.0,20.0,25.6,0.0,164.0,4.0,21.0,65.0,11.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,124,70.2,3.0,1.0,14.0,1465,387.0,38.0,45,84.4,36.0,8.0,72.7,0,0,0,0,0,0,118,0,0,0.0
546,Amin Sarr,RW,2023-2024,22.0,Sweden,2 Teams,2 Comps,17,484,5.4,3,14,11.0,0.0,0.0,4.0,14.7,0.0,0.9,0.5,0.2,1.2,-0.9,-0.9,-0.3,0.08,11,0.0,0.0,4.0,36.4,14.7,0.0,216.0,5.0,16.0,98.0,17.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,150,72.0,6.0,0.0,13.0,1241,226.0,68.0,86,79.1,21.0,4.0,80.0,0,0,0,0,0,0,141,0,0,0.0
547,Ismaila Sarr,RW,2023-2024,25.0,Senegal,Marseille,Ligue 1,23,1447,16.1,15,8,25.0,0.12,0.3,10.0,12.7,0.0,3.2,5.7,2.3,5.7,-0.2,-0.2,1.5,0.13,25,0.12,0.3,10.0,40.0,12.7,0.0,675.0,24.0,72.0,357.0,89.0,675.0,4.0,7.0,3.0,0.0,0.0,0.0,366.0,483,75.8,15.0,5.0,36.0,4949,1093.0,229.0,269,85.1,107.0,10.0,47.6,3,4,7,0,0,0,476,3,4,7.0
548,Martin Satriano,ST,2023-2024,22.0,Uruguay,Brest,Ligue 1,33,1864,20.7,21,12,63.0,0.06,0.2,20.0,16.2,0.0,6.1,9.0,2.6,9.0,-2.1,-2.1,1.1,0.1,63,0.06,0.2,20.0,31.7,16.2,0.0,714.0,32.0,79.0,347.0,99.0,714.0,4.0,8.0,4.0,0.0,0.0,0.0,325.0,456,71.3,9.0,1.0,37.0,5299,1060.0,172.0,233,73.8,105.0,33.0,73.3,4,4,8,0,0,0,447,4,4,8.0
549,Sávio,LW,2023-2024,19.0,Brazil,Girona,La Liga,37,2976,33.1,35,2,45.0,0.2,0.45,20.0,16.6,0.0,6.1,14.0,9.9,14.0,2.9,2.9,2.1,0.13,45,0.2,0.45,20.0,44.4,16.6,0.0,1490.0,17.0,169.0,878.0,158.0,1490.0,10.0,19.0,9.0,0.0,0.0,0.0,812.0,1064,76.3,60.0,14.0,93.0,11860,2710.0,469.0,529,88.7,265.0,42.0,53.8,9,10,19,0,0,0,1042,9,10,19.0
550,Gianluca Scamacca,ST,2023-2024,24.0,Italy,Atalanta,Serie A,29,1453,16.1,17,12,60.0,0.2,0.46,26.0,15.1,0.0,6.5,10.5,1.5,10.5,5.5,5.5,2.1,0.11,60,0.2,0.46,26.0,43.3,15.1,0.0,655.0,15.0,35.0,340.0,93.0,655.0,6.0,18.0,12.0,0.0,0.0,0.0,293.0,434,67.5,14.0,1.0,41.0,5369,1076.0,137.0,202,67.8,99.0,42.0,80.8,12,6,18,0,0,0,420,12,6,18.0
551,Dane Scarlett,ST,2023-2024,19.0,England,Tottenham,Premier League,4,22,0.2,0,4,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.0,,,0.0,11.0,0.0,0.0,6.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3,66.7,0.0,0.0,1.0,25,16.0,1.0,1,100.0,1.0,0.0,,0,0,0,0,0,0,3,0,0,0.0
552,Kevin Schade,LW,2023-2024,21.0,Germany,Brentford,Premier League,11,333,3.7,3,8,8.0,0.25,0.5,4.0,15.8,0.0,1.2,1.9,0.7,1.9,0.8,0.8,0.3,0.15,8,0.25,0.5,4.0,50.0,15.8,0.0,148.0,3.0,17.0,73.0,19.0,148.0,1.0,3.0,2.0,0.0,0.0,0.0,58.0,95,61.1,3.0,2.0,9.0,819,220.0,36.0,49,73.5,19.0,2.0,50.0,2,1,3,0,0,0,93,2,1,3.0
