Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Att,Launch%,AvgLen,Opp,Stp,Stp%,PSxG,PSxG/SoT,PSxG+/-,PKatt,PKA,PKsv,PKm,Save%,#OPA,AvgDist
Keylor Navas,GK,2023-2024,36,cr CRC,Paris S-G,fr Ligue 1,4,360,4,4,0,6,12,6,58.3,2,2,0,1,25,18,5.6,22.2,37,0,0,4.7,0.31,-1.3,1,1,0,0,0,5,16.3
Massamba Ndiaye,GK,2023-2024,21,sn SEN,Clermont Foot,fr Ligue 1,4,360,4,4,0,6,24,18,79.2,1,2,1,0,0,24,45.8,35.1,75,7,9.3,7.8,0.29,+1.8,1,1,0,0,0,3,10.1
Neto,GK,2023-2024,34,br BRA,Bournemouth,eng Premier League,32,2880,32,32,0,55,165,110,69.7,10,9,13,7,21.9,223,57,44.2,413,26,6.3,55.2,0.31,+1.2,6,5,1,0,16.7,34,13.7
Manuel Neuer,GK,2023-2024,37,de GER,Bayern Munich,de Bundesliga,23,2053,22.8,23,0,33,93,59,66.7,16,1,6,6,26.1,97,14.4,26,231,9,3.9,29.1,0.29,-3.9,3,2,1,0,33.3,32,17.5
Moritz Nicolas,GK,2023-2024,25,de GER,Gladbach,de Bundesliga,27,2430,27,27,0,49,160,111,71.9,6,11,10,4,14.8,161,52.2,42.5,460,21,4.6,45.1,0.26,-3.9,4,4,0,0,0,22,13.2
Alexander Nübel,GK,2023-2024,26,de GER,Stuttgart,de Bundesliga,30,2700,30,30,0,36,107,74,69.2,20,3,7,11,36.7,112,32.1,32.7,341,30,8.8,30.8,0.27,-2.2,3,3,0,0,0,57,17.3
Ørjan Nyland,GK,2023-2024,32,no NOR,Sevilla,es La Liga,24,2160,24,24,0,27,104,78,76.9,8,9,7,6,25,201,78.6,56.4,359,20,5.6,29.8,0.26,+3.8,3,3,0,0,0,17,13.5
Jan Oblak,GK,2023-2024,30,si SVN,Atlético Madrid,es La Liga,38,3420,38,38,0,43,144,101,70.8,24,4,10,13,34.2,283,46.6,38.7,579,36,6.2,39.8,0.28,-3.2,2,1,0,1,0,22,11.8
Guillermo Ochoa,GK,2023-2024,38,mx MEX,Salernitana,it Serie A,21,1890,21,21,0,44,115,72,67.8,0,6,15,1,4.8,171,59.1,44.4,342,9,2.6,37.2,0.27,-5.8,7,7,0,0,0,11,13.6
Maduka Okoye,GK,2023-2024,23,ng NGA,Udinese,it Serie A,21,1890,21,21,0,25,89,65,75.3,5,8,8,5,23.8,161,64,49,365,7,1.9,23.9,0.24,-0.1,3,3,0,0,0,2,8.7
Robin Olsen,GK,2023-2024,33,se SWE,Aston Villa,eng Premier League,5,405,4.5,4,1,13,34,20,61.8,1,0,3,0,0,27,44.4,35.9,46,6,13,11.1,0.3,-1.9,1,0,1,0,100,1,8.4
Jonas Omlin,GK,2023-2024,29,ch SUI,Gladbach,de Bundesliga,7,630,7,7,0,18,47,29,66,1,2,4,0,0,34,50,41.8,78,7,9,13.3,0.24,-4.7,2,2,0,0,0,12,15.3
André Onana,GK,2023-2024,27,cm CMR,Manchester Utd,eng Premier League,38,3420,38,38,0,58,203,146,74.9,18,6,14,9,23.7,162,58,44.6,601,42,7,59.1,0.27,+2.1,7,7,0,0,0,37,12.9
Alexandre Oukidja,GK,2023-2024,35,dz ALG,Metz,fr Ligue 1,34,2987,33.2,34,0,57,185,128,72.4,8,5,21,6,17.6,292,89,59,569,46,8.1,52.3,0.26,-4.7,6,6,0,0,0,22,10.3
Rui Patrício,GK,2023-2024,35,pt POR,Roma,it Serie A,23,2070,23,23,0,27,74,49,66.2,11,5,7,6,26.1,137,40.9,34.9,309,16,5.2,23.4,0.29,-1.6,3,2,0,1,0,8,11.7
Jiří Pavlenka,GK,2023-2024,31,cz CZE,Werder Bremen,de Bundesliga,7,630,7,7,0,17,38,21,60.5,2,0,5,1,14.3,69,26.1,32.5,109,7,6.4,13.1,0.3,-3.9,2,2,0,0,0,9,14.4
Đorđe Petrović,GK,2023-2024,23,rs SRB,Chelsea,eng Premier League,23,1987,22.1,22,1,38,108,73,65.7,13,5,4,5,22.7,149,46.3,37.8,312,20,6.4,28.3,0.26,-6.7,2,1,0,1,0,20,12.7
Jordan Pickford,GK,2023-2024,29,eng ENG,Everton,eng Premier League,38,3420,38,38,0,51,165,117,73.9,13,9,16,13,34.2,273,60.8,48.3,570,30,5.3,52.4,0.28,+4.4,8,8,0,0,0,54,15.9
Ivan Provedel,GK,2023-2024,29,it ITA,Lazio,it Serie A,30,2699,30,30,0,33,119,86,73.9,12,6,12,9,30,176,35.2,37,377,15,4,31.3,0.24,-1.7,3,2,0,1,0,18,13
Predrag Rajković,GK,2023-2024,27,rs SRB,Mallorca,es La Liga,36,3240,36,36,0,43,138,95,71.7,7,15,14,9,25,300,73,54.3,502,33,6.6,41.8,0.27,-0.2,5,4,1,0,20,28,13.7
Federico Ravaglia,GK,2023-2024,23,it ITA,Bologna,it Serie A,6,535,5.9,6,0,3,18,13,83.3,4,1,1,4,66.7,34,52.9,41,73,1,1.4,5.5,0.25,+2.5,1,0,1,0,100,4,17.1
David Raya,GK,2023-2024,27,es ESP,Arsenal,eng Premier League,32,2880,32,32,0,24,69,45,68.1,23,4,5,16,50,96,62.5,47.5,329,40,12.2,20.4,0.26,-2.6,3,2,1,0,33.3,50,17.9
Álex Remiro,GK,2023-2024,28,es ESP,Real Sociedad,es La Liga,37,3275,36.4,37,0,36,130,94,76.2,16,12,9,15,40.5,163,65.6,50.9,383,18,4.7,37.9,0.26,+2.9,6,5,1,0,16.7,54,16.9
Guillaume Restes,GK,2023-2024,18,fr FRA,Toulouse,fr Ligue 1,34,3060,34,34,0,46,139,93,69.8,11,10,13,6,17.6,193,48.2,38.9,490,7,1.4,45.3,0.3,-0.7,4,4,0,0,0,16,10.7
Manuel Riemann,GK,2023-2024,34,de GER,Bochum,de Bundesliga,33,2970,33,33,0,70,185,116,67,7,12,14,4,12.1,208,61.1,46.9,510,35,6.9,59.6,0.27,-7.4,11,9,2,0,18.2,104,19.8
Frederik Rønnow,GK,2023-2024,30,dk DEN,Union Berlin,de Bundesliga,33,2970,33,33,0,56,162,105,68.5,9,6,18,7,21.2,218,63.8,47.4,539,54,10,51.7,0.28,-3.3,7,5,2,0,28.6,37,12.9
José Sá,GK,2023-2024,30,pt POR,Wolves,eng Premier League,35,3037,33.7,35,0,58,188,131,73.4,12,7,16,4,11.4,253,56.9,42.6,522,45,8.6,65.9,0.31,+8.9,8,8,0,0,0,28,12.6
Brice Samba,GK,2023-2024,29,fr FRA,Lens,fr Ligue 1,33,2970,33,33,0,35,136,101,78.7,14,8,11,14,42.4,170,40,33.5,388,32,8.2,42.3,0.27,+8.3,8,6,1,1,14.3,39,14.8
Robert Sánchez,GK,2023-2024,25,es ESP,Chelsea,eng Premier League,16,1433,15.9,16,0,25,78,52,70.5,5,4,7,3,18.8,91,40.7,33.7,202,19,9.4,24.2,0.28,-0.8,3,2,1,0,33.3,27,15.8
Marcel Schuhen,GK,2023-2024,30,de GER,Darmstadt 98,de Bundesliga,31,2790,31,31,0,76,198,123,62.1,3,7,21,3,9.7,289,62.6,48.5,453,24,5.3,68,0.34,-6,2,1,1,0,50,51,16.5
Marvin Schwäbe,GK,2023-2024,28,de GER,Köln,de Bundesliga,34,3060,34,34,0,60,168,108,66.1,5,12,17,4,11.8,149,30.9,34.3,504,14,2.8,62,0.36,+2.0,3,3,0,0,0,21,13.4
Simone Scuffet,GK,2023-2024,27,it ITA,Cagliari,it Serie A,31,2789,31,31,0,55,129,76,59.7,8,10,13,3,9.7,243,64.2,46.9,482,22,4.6,45.1,0.33,-7.9,3,3,0,0,0,20,12.1
Matz Sels,GK,2023-2024,31,be BEL,Nott'ham Forest,2 Comps,35,3150,35,35,0,51,123,76,60.2,10,11,14,4,11.4,206,41.7,37.2,480,17,3.5,37.2,0.29,-9.8,2,2,0,0,0,23,12.1
Rui Silva,GK,2023-2024,29,pt POR,Betis,es La Liga,28,2475,27.5,28,0,36,120,85,75.8,10,9,9,9,32.1,183,55.7,43,375,31,8.3,37.5,0.26,+3.5,8,7,1,0,12.5,34,14.9
Marco Silvestri,GK,2023-2024,32,it ITA,Udinese,it Serie A,17,1530,17,17,0,28,68,40,67.6,1,11,5,4,23.5,105,49.5,42.1,282,5,1.8,25.7,0.29,-2.3,6,6,0,0,0,7,13.1
Unai Simón,GK,2023-2024,26,es ESP,Athletic Club,es La Liga,36,3182,35.4,36,0,33,122,90,73.8,18,11,7,16,44.4,240,84.6,60.9,450,31,6.9,38,0.28,+9.0,5,1,3,1,75,46,16.3
Antonio Sivera,GK,2023-2024,26,es ESP,Alavés,es La Liga,34,3060,34,34,0,38,123,87,75.6,11,8,15,10,29.4,295,67.1,47.8,501,25,5,38.4,0.25,+2.4,8,8,0,0,0,29,13.1
Łukasz Skorupski,GK,2023-2024,32,pl POL,Bologna,it Serie A,32,2880,32,32,0,29,106,77,75.5,14,13,5,13,40.6,188,42,38.7,432,12,2.8,26.6,0.23,-1.4,6,3,1,2,25,15,12.2
Yann Sommer,GK,2023-2024,34,ch SUI,Inter,it Serie A,34,3060,34,34,0,19,98,78,82.7,27,6,1,19,55.9,201,22.9,27.9,395,18,4.6,25.5,0.23,+6.5,4,2,1,1,33.3,14,12.1
David Soria,GK,2023-2024,30,es ESP,Getafe,es La Liga,38,3413,37.9,38,0,52,171,118,72.5,10,13,15,10,26.3,310,83.9,57.3,458,17,3.7,53.9,0.29,+1.9,7,5,1,1,16.7,62,17.3
Alessandro Sorrentino,GK,2023-2024,21,it ITA,Monza,it Serie A,7,548,6.1,5,2,16,32,16,62.5,0,1,4,0,0,42,38.1,36.1,62,3,4.8,14.4,0.34,-1.6,4,4,0,0,0,3,16.8
Marco Sportiello,GK,2023-2024,31,it ITA,Milan,it Serie A,7,630,7,7,0,11,33,23,69.7,3,3,1,2,28.6,17,23.5,29.1,81,5,6.2,8.9,0.25,-1.1,1,1,0,0,0,9,15.4
Jason Steele,GK,2023-2024,32,eng ENG,Brighton,eng Premier League,17,1530,17,17,0,34,74,42,58.1,5,4,8,2,11.8,54,14.8,18.8,173,7,4,25.7,0.32,-6.3,3,3,0,0,0,41,20.6
